ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
1996-12-01,13.3088316,-3.919928787994457,9.728775700378641,13.3088316,13.3088316,-0.7895987821818348,-0.7895987821818348,-0.7895987821818348,0.010181840655604315,0.010181840655604315,0.010181840655604315,-0.799780622837439,-0.799780622837439,-0.799780622837439,0.0,0.0,0.0,2.80019437637688
1996-12-02,13.309360507103825,-4.11229195400258,8.820504914587332,13.309360507103825,13.309360507103825,-0.8095286931332113,-0.8095286931332113,-0.8095286931332113,0.010907444896325485,0.010907444896325485,0.010907444896325485,-0.8204361380295369,-0.8204361380295369,-0.8204361380295369,0.0,0.0,0.0,2.5350512893492914
1996-12-03,13.30988941420765,-4.493238375172517,8.82560281528028,13.30988941420765,13.30988941420765,-0.827524390000917,-0.827524390000917,-0.827524390000917,0.012406381182338593,0.012406381182338593,0.012406381182338593,-0.8399307711832557,-0.8399307711832557,-0.8399307711832557,0.0,0.0,0.0,2.2956312957358014
1996-12-04,13.310418321311474,-5.338897635226634,8.61532847990606,13.310418321311474,13.310418321311474,-0.8584938198621386,-0.8584938198621386,-0.8584938198621386,-0.000300659948581482,-0.000300659948581482,-0.000300659948581482,-0.8581931599135572,-0.8581931599135572,-0.8581931599135572,0.0,0.0,0.0,1.8835064526857925
1996-12-05,13.3109472284153,-4.948764433727038,8.408612150084481,13.3109472284153,13.3109472284153,-0.8815752188218927,-0.8815752188218927,-0.8815752188218927,-0.006403302799978763,-0.006403302799978763,-0.006403302799978763,-0.875171916021914,-0.875171916021914,-0.875171916021914,0.0,0.0,0.0,1.5763460127984155
1996-12-06,13.311476135519126,-5.404935933347981,8.17152354320873,13.311476135519126,13.311476135519126,-0.9123827168680981,-0.9123827168680981,-0.9123827168680981,-0.02154615213901561,-0.02154615213901561,-0.02154615213901561,-0.8908365647290825,-0.8908365647290825,-0.8908365647290825,0.0,0.0,0.0,1.1663153734693341
1996-12-07,13.31200504262295,-5.26890444727347,8.09383804948465,13.31200504262295,13.31200504262295,-0.9104235736881154,-0.9104235736881154,-0.9104235736881154,-0.005245551846655646,-0.005245551846655646,-0.005245551846655646,-0.9051780218414598,-0.9051780218414598,-0.9051780218414598,0.0,0.0,0.0,1.1924418387639504
1996-12-08,13.312533949726774,-5.4768779617120105,8.306269239825184,13.312533949726774,13.312533949726774,-0.908026758305591,-0.908026758305591,-0.908026758305591,0.010181840655583094,0.010181840655583094,0.010181840655583094,-0.9182085989611741,-0.9182085989611741,-0.9182085989611741,0.0,0.0,0.0,1.224396902523246
1996-12-09,13.3130628568306,-5.4518080472254065,7.820946816887382,13.3130628568306,13.3130628568306,-0.919054093209412,-0.919054093209412,-0.919054093209412,0.01090744489633022,0.01090744489633022,0.01090744489633022,-0.9299615381057422,-0.9299615381057422,-0.9299615381057422,0.0,0.0,0.0,1.0776379451062488
1996-12-10,13.313591763934426,-5.5101878803562965,7.733834549737877,13.313591763934426,13.313591763934426,-0.9280837071145194,-0.9280837071145194,-0.9280837071145194,0.012406381182323453,0.012406381182323453,0.012406381182323453,-0.9404900882968428,-0.9404900882968428,-0.9404900882968428,0.0,0.0,0.0,0.9574641646528308
1996-12-11,13.31412067103825,-6.309772775330104,7.122186228384279,13.31412067103825,13.31412067103825,-0.9501668074709754,-0.9501668074709754,-0.9501668074709754,-0.0003006599485895732,-0.0003006599485895732,-0.0003006599485895732,-0.9498661475223857,-0.9498661475223857,-0.9498661475223857,0.0,0.0,0.0,0.6634851387545156
1996-12-12,13.314649578142078,-6.224548557974095,7.032099057176817,13.314649578142078,13.314649578142078,-0.9645818065082076,-0.9645818065082076,-0.9645818065082076,-0.006403302799987723,-0.006403302799987723,-0.006403302799987723,-0.9581785037082198,-0.9581785037082198,-0.9581785037082198,0.0,0.0,0.0,0.4715808350340485
1996-12-13,13.315178485245902,-7.0219746695533765,7.4201308423207655,13.315178485245902,13.315178485245902,-0.987076869833962,-0.987076869833962,-0.987076869833962,-0.02154615213901015,-0.02154615213901015,-0.02154615213901015,-0.9655307176949518,-0.9655307176949518,-0.9655307176949518,0.0,0.0,0.0,0.172073784748861
1996-12-14,13.315707392349728,-6.390853928325497,7.171403217961715,13.315707392349728,13.315707392349728,-0.9772842513209633,-0.9772842513209633,-0.9772842513209633,-0.0052455518466730505,-0.0052455518466730505,-0.0052455518466730505,-0.9720386994742902,-0.9720386994742902,-0.9720386994742902,0.0,0.0,0.0,0.3024762626082075
1996-12-15,13.316236299453552,-5.976046926580492,7.2986342622038825,13.316236299453552,13.316236299453552,-0.9676461952395325,-0.9676461952395325,-0.9676461952395325,0.010181840655597239,0.010181840655597239,0.010181840655597239,-0.9778280358951298,-0.9778280358951298,-0.9778280358951298,0.0,0.0,0.0,0.4308309093767698
1996-12-16,13.316765206557378,-6.658970795392624,7.097193760824327,13.316765206557378,13.316765206557378,-0.9721236886383324,-0.9721236886383324,-0.9721236886383324,0.010907444896328083,0.010907444896328083,0.010907444896328083,-0.9830311335346605,-0.9830311335346605,-0.9830311335346605,0.0,0.0,0.0,0.3712222932282148
1996-12-17,13.317294113661202,-6.542693848381936,6.688578486988076,13.317294113661202,13.317294113661202,-0.975377863134045,-0.975377863134045,-0.975377863134045,0.0124063811823245,0.0124063811823245,0.0124063811823245,-0.9877842443163695,-0.9877842443163695,-0.9877842443163695,0.0,0.0,0.0,0.3279002383507436
1996-12-18,13.317823020765028,-6.851410662033089,7.077806377752532,13.317823020765028,13.317823020765028,-0.9925251036044576,-0.9925251036044576,-0.9925251036044576,-0.00030065994859766396,-0.00030065994859766396,-0.00030065994859766396,-0.9922244436558599,-0.9922244436558599,-0.9922244436558599,0.0,0.0,0.0,0.09954934729438865
1996-12-19,13.318351927868852,-6.968732187310326,6.947208672044548,13.318351927868852,13.318351927868852,-1.0028899341850745,-1.0028899341850745,-1.0028899341850745,-0.006403302800000713,-0.006403302800000713,-0.006403302800000713,-0.9964866313850738,-0.9964866313850738,-0.9964866313850738,0.0,0.0,0.0,-0.03848916052520173
1996-12-20,13.318880834972678,-6.953555102911518,6.4918298922824045,13.318880834972678,13.318880834972678,-1.0222467765856844,-1.0222467765856844,-1.0222467765856844,-0.021546152139007797,-0.021546152139007797,-0.021546152139007797,-1.0007006244466765,-1.0007006244466765,-1.0007006244466765,0.0,0.0,0.0,-0.296302166306991
1996-12-21,13.319409742076502,-7.5286186156496795,6.677843074609258,13.319409742076502,13.319409742076502,-1.010233959253289,-1.010233959253289,-1.010233959253289,-0.00524555184663879,-0.00524555184663879,-0.00524555184663879,-1.0049884074066502,-1.0049884074066502,-1.0049884074066502,0.0,0.0,0.0,-0.13631029657827093
1996-12-22,13.319938649180328,-6.680757195047175,6.692586862307913,13.319938649180328,13.319938649180328,-0.9992797616399615,-0.9992797616399615,-0.9992797616399615,0.01018184065559014,0.01018184065559014,0.01018184065559014,-1.0094616022955516,-1.0094616022955516,-1.0094616022955516,0.0,0.0,0.0,0.009593530768499588
1996-12-23,13.320467556284152,-6.422769610936452,7.122046382855357,13.320467556284152,13.320467556284152,-1.0033117683874722,-1.0033117683874722,-1.0033117683874722,0.01090744489633282,0.01090744489633282,0.01090744489633282,-1.014219213283805,-1.014219213283805,-1.014219213283805,0.0,0.0,0.0,-0.044114303359250366
1996-12-24,13.320996463387978,-6.348147860846379,6.648300003989745,13.320996463387978,13.320996463387978,-1.0069393132067972,-1.0069393132067972,-1.0069393132067972,0.012406381182332811,0.012406381182332811,0.012406381182332811,-1.0193456943891301,-1.0193456943891301,-1.0193456943891301,0.0,0.0,0.0,-0.0924385666860869
1996-12-25,13.321525370491802,-7.231380353786291,6.7229731179121055,13.321525370491802,13.321525370491802,-1.025210039951245,-1.025210039951245,-1.025210039951245,-0.0003006599485863028,-0.0003006599485863028,-0.0003006599485863028,-1.0249093800026585,-1.0249093800026585,-1.0249093800026585,0.0,0.0,0.0,-0.3358361868016213
1996-12-26,13.322054277595628,-7.196179946747218,6.581225988425995,13.322054277595628,13.322054277595628,-1.037364611527218,-1.037364611527218,-1.037364611527218,-0.006403302800009674,-0.006403302800009674,-0.006403302800009674,-1.0309613087272083,-1.0309613087272083,-1.0309613087272083,0.0,0.0,0.0,-0.4977733828268725
1996-12-27,13.322583184699452,-6.83926944462193,6.42800477081368,13.322583184699452,13.322583184699452,-1.0590806132305393,-1.0590806132305393,-1.0590806132305393,-0.021546152139011853,-0.021546152139011853,-0.021546152139011853,-1.0375344610915274,-1.0375344610915274,-1.0375344610915274,0.0,0.0,0.0,-0.7871063843669143
